transaction_id,machine_id,location_city,location_type,refill_date,refill_time,product_id,product_name,product_category,unit_price,quantity_refilled,quantity_sold,current_stock,revenue_generated,refill_person_id,refill_person_name,machine_status,temperature_C,payment_method,avg_customer_rating,downtime_minutes,power_consumption_kwh,network_latency_ms,maintenance_flag
VMX-10001,VM-053,Delhi,Metro Station,25-04-2025,04:47:00,P-101,Pepsi Can,Drinks,13.5,90,83,7,1120.5,RP-003,Rahul,Low Power,10.5,Cash,2.7,64,3.41,337,0
VMX-10002,VM-082,Delhi,Hospital,23-05-2025,00:48:00,P-108,Sprite Bottle,Drinks,68.73,134,116,18,7972.68,RP-011,Anita,Working,13.2,UPI,2.3,48,1.39,483,1
VMX-10003,VM-194,Hyderabad,Metro Station,02-10-2025,03:59:00,P-109,Doritos,Snacks,47.03,31,17,14,799.51,RP-010,Rahul,Low Power,18.7,Card,2.2,84,1.91,198,0
VMX-10004,VM-187,Bangalore,Office,21-08-2025,20:53:00,P-103,Oreo Pack,Snacks,131.31,117,109,8,14312.79,RP-012,Suresh,Maintenance,14,Card,3.9,77,3.54,323,0
VMX-10005,VM-029,Bangalore,College,23-04-2025,21:20:00,P-102,Bisleri Water,Drinks,74.72,89,69,20,5155.68,RP-011,Kiran,Low Power,11,Card,4.6,40,1.85,305,1
VMX-10006,VM-300,Mumbai,Metro Station,03-10-2025,08:47:00,P-107,Colgate Mini,Hygiene,30,55,48,7,1440,RP-013,Deepa,Working,25,Cash,3.5,11,4.02,490,0
VMX-10007,VM-240,Pune,Office,02-02-2025,12:24:00,P-102,Bisleri Water,Drinks,97.84,194,181,13,17709.04,RP-018,Mahesh,Maintenance,20.8,Card,4.7,96,2.07,378,1
VMX-10008,VM-135,Pune,Mall,02-01-2025,23:56:00,P-101,Pepsi Can,Drinks,51.09,60,46,14,2350.14,RP-017,Ravi,Maintenance,14.5,Card,3.5,25,1.61,440,0
VMX-10009,VM-058,Chennai,Office,15-06-2025,15:01:00,P-108,Sprite Bottle,Drinks,143.49,155,155,0,22240.95,RP-008,Mahesh,Working,23.2,Cash,2.3,62,4.26,439,0
VMX-10010,VM-217,Bangalore,Metro Station,16-05-2025,16:55:00,P-102,Bisleri Water,Drinks,102.37,160,155,5,15867.35,RP-007,Anita,Low Power,24.9,Card,3.1,115,3.07,111,0
VMX-10011,VM-004,Hyderabad,College,28-04-2025,18:14:00,P-103,Oreo Pack,Snacks,18.96,25,7,18,132.72,RP-008,Ravi,Working,22.9,Cash,3.5,35,3.68,159,0
VMX-10012,VM-050,Delhi,Hospital,28-07-2025,06:06:00,P-109,Doritos,Snacks,90.67,82,67,15,6074.89,RP-012,Kiran,Low Power,17,Card,2.2,83,4.94,100,0
VMX-10013,VM-230,Bangalore,Hospital,09-04-2025,06:34:00,P-106,Snickers Bar,Snacks,111.95,47,40,7,4478,RP-006,Anita,Low Power,13.7,Cash,3.3,110,4.42,100,0
VMX-10014,VM-247,Bangalore,Hospital,27-03-2025,13:31:00,P-108,Sprite Bottle,Drinks,127.04,43,36,7,4573.44,RP-002,Amit,Low Power,10,UPI,2.8,100,4.14,196,1
VMX-10015,VM-030,Pune,Metro Station,08-04-2025,09:13:00,P-108,Sprite Bottle,Drinks,102.66,144,140,4,14372.4,RP-002,Deepa,Working,10.8,UPI,3.5,109,3.12,79,0
VMX-10016,VM-292,Bangalore,Metro Station,26-07-2025,03:56:00,P-102,Bisleri Water,Drinks,19.59,37,30,7,587.7,RP-020,Mahesh,Maintenance,11.2,Card,3.8,66,2.27,183,0
VMX-10017,VM-038,Hyderabad,Hospital,03-06-2025,14:20:00,P-105,Dettol Wipe,Hygiene,43.42,121,117,4,5080.14,RP-020,Rahul,Working,11.1,Cash,3.5,16,4.73,85,0
VMX-10018,VM-271,Hyderabad,Metro Station,04-06-2025,19:51:00,P-105,Dettol Wipe,Hygiene,49.9,132,115,17,5738.5,RP-010,Ravi,Working,14,Cash,4.2,19,2.09,359,0
VMX-10019,VM-027,Hyderabad,Hospital,16-09-2025,15:16:00,P-105,Dettol Wipe,Hygiene,38.5,182,174,8,6699,RP-009,Mahesh,Working,15,Cash,3.9,33,1.65,276,1
VMX-10020,VM-190,Pune,Metro Station,07-10-2025,01:53:00,P-108,Sprite Bottle,Drinks,11.35,39,35,4,397.25,RP-005,Kiran,Working,10.6,UPI,4.7,101,4.89,70,1
VMX-10021,VM-209,Pune,Mall,01-07-2025,17:56:00,P-103,Oreo Pack,Snacks,105.49,190,187,3,19726.63,RP-008,Amit,Working,23.2,Cash,2.5,118,2.33,260,0
