transaction_id,machine_id,location_city,location_type,refill_date,refill_time,product_id,product_name,product_category,unit_price,quantity_refilled,quantity_sold,current_stock,revenue_generated,refill_person_id,refill_person_name,machine_status,temperature_C,payment_method,avg_customer_rating,downtime_minutes,power_consumption_kwh,network_latency_ms,maintenance_flag,refill_datetime
VMX-10001,VM-053,Delhi,Metro Station,25-04-2025,04:47:00,P-101,Pepsi Can,Drinks,13.5,90.0,83.0,7.0,1120.5,RP-003,Rahul,Low Power,10.5,Cash,2.7,64.0,3.41,337.0,0.0,2025-04-25 04:47:00
VMX-10002,VM-082,Delhi,Hospital,23-05-2025,00:48:00,P-108,Sprite Bottle,Drinks,68.73,134.0,116.0,18.0,7972.68,RP-011,Anita,Working,13.2,UPI,2.3,48.0,1.39,483.0,1.0,2025-05-23 00:48:00
VMX-10003,VM-194,Hyderabad,Metro Station,02-10-2025,03:59:00,P-109,Doritos,Snacks,47.03,31.0,17.0,14.0,799.51,RP-010,Rahul,Low Power,18.7,Card,2.2,84.0,1.91,198.0,0.0,2025-10-02 03:59:00
VMX-10004,VM-187,Bangalore,Office,21-08-2025,20:53:00,P-103,Oreo Pack,Snacks,131.31,117.0,109.0,8.0,14312.79,RP-012,Suresh,Maintenance,14.0,Card,3.9,77.0,3.54,323.0,0.0,2025-08-21 20:53:00
VMX-10005,VM-029,Bangalore,College,23-04-2025,21:20:00,P-102,Bisleri Water,Drinks,74.72,89.0,69.0,20.0,5155.68,RP-011,Kiran,Low Power,11.0,Card,4.6,40.0,1.85,305.0,1.0,2025-04-23 21:20:00
VMX-10006,VM-300,Mumbai,Metro Station,03-10-2025,08:47:00,P-107,Colgate Mini,Hygiene,30,55.0,48.0,7.0,1440.0,RP-013,Deepa,Working,25.0,Cash,3.5,11.0,4.02,490.0,0.0,2025-10-03 08:47:00
VMX-10007,VM-240,Pune,Office,02-02-2025,12:24:00,P-102,Bisleri Water,Drinks,97.84,194.0,181.0,13.0,17709.04,RP-018,Mahesh,Maintenance,20.8,Card,4.7,96.0,2.07,378.0,1.0,2025-02-02 12:24:00
VMX-10008,VM-135,Pune,Mall,02-01-2025,23:56:00,P-101,Pepsi Can,Drinks,51.09,60.0,46.0,14.0,2350.14,RP-017,Ravi,Maintenance,14.5,Card,3.5,25.0,1.61,440.0,0.0,2025-01-02 23:56:00
VMX-10009,VM-058,Chennai,Office,15-06-2025,15:01:00,P-108,Sprite Bottle,Drinks,143.49,155.0,155.0,0.0,22240.95,RP-008,Mahesh,Working,23.2,Cash,2.3,62.0,4.26,439.0,0.0,2025-06-15 15:01:00
VMX-10010,VM-217,Bangalore,Metro Station,16-05-2025,16:55:00,P-102,Bisleri Water,Drinks,102.37,160.0,155.0,5.0,15867.35,RP-007,Anita,Low Power,24.9,Card,3.1,115.0,3.07,111.0,0.0,2025-05-16 16:55:00
